,company,job_title,salary,location,description,date
10,"

        The Royal Bank of Scotland",Sales Customer Service Officer,Nothing_found,London N1,"
            Collate internal reporting data and act as liaison between Rapid Cash and Working Capital Sales. Join us in London as a Sales Customer Service Officer.",23 hours ago
11,"

        AXA General Insurance",Internship - Talent Development,Nothing_found,United Kingdom,"
            Responsible for the data entry on LMS. Excellent attention to detail and a willingness to challenge inconsistencies or errors appropriately to ensure data…",5 days ago
12,"

        Clarivate Analytics",Data Support Analyst,Nothing_found,London SE1,"
            Analyzes data retrieved and selects most relevant and pertinent data for our clients. Resources to find relevant data for clients.",10 days ago
13,"
        Together Financial Services Ltd",Head of Data and BI,Nothing_found,Cheadle,"
            Relevant technical knowledge spanning ETL, Data Warehouse, BI and Data Governance/Management technologies; Reporting into the Group COO, the Head of Data and BI…",4 days ago
14,"

        Imperial College London",Programme Coordinator MBA Suite,"
                            £37,089 a year",South Kensington,"
            You should have experience working with MS Office and large amounts of data, as well as excellent attention to detail and organisational skills.",4 months ago
15,"
        OD Fire Protection",Admin & Logistics Coordinator,"
                            £16 an hour",London,"
            Accurately log in all enquiries into our data base. Full time Admin & Logistics Coordinator*. Starting at £16/hour, depending on experience & qualities.",4 days ago
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Identifies data sources, collects, transforms and prepares large amounts of data for analysis.Monitors and continuously improves the data sources, usability…",Nothing_found
3,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.What makes a data champion?*.As our Data Architect you will be:",Nothing_found
4,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
5,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
6,"

        British Council",Director English Europe,Nothing_found,United Kingdom,"
 To use customer feedback data to drive necessary business changes and adapt our offer accordingly.The British Council is the UK’s international organization…",13 days ago
7,"

        Citizens Advice",Data Administrator (Witness Service),"
                            £19,938 a year",London EC1A,"
 We're looking to recruit an excellent data administrator to join our data team.We need someone who can use their initiative and who understands the processes…",30+ days ago
8,"

        FIS Global",Data Consultant,Nothing_found,Chertsey KT16,"
 Drive the articulation of principles and standards for data migration.Assist in developing a strong data practice team with FIS iWorks.What you will be doing:",11 days ago
9,"
        Compliance Recruitment Solutions",Exclusive: 6 Month Contract Data Privacy & Records Officer – Data Privacy Experience Required,"
                            £45,000 - £55,000 a year",United Kingdom,"
 Help to maintain and enhance the bank’s data processing inventory.You should have previous experience of data protection with knowledge of the applicable…",13 days ago
10,"
        Nationwide Specialist Services",Data Entry Clerk/Administrator,"
                            £9 an hour",Leeds LS15,"
 Service Hub Data Administrator (Temp).Service Hub Data Administrator (Temp).Running internal reports for data mining.Part of NSS Cleaning – Retail.",30+ days ago
11,"
        PSI CRO",Clinical Data Manager,Nothing_found,Oxford,"
 Design eCRF, Data Management and Data Validation Plans and test EDC databases.Maintain Clinical Data Management working files.",30+ days ago
12,"

        Securitas",Front of House,"
                            £16.50 an hour",London WC1B,"
 £16.5 to £16.5 per hour.Thu 26th, Sep 2019 until Wed 23rd, Oct 2019.Our STARS, deliver a consistently exceptional, best in class Front of House Reception…",27 days ago
13,"
        Purplebricks",Data Insights Analyst,"
                            £50,000 a year",Solihull B90,"
 Strong skills in data cleansing, reformatting and wrangling.As Data Insights Analyst you will be at the forefront of BI evangelism, upskilling the business in…",9 days ago
14,"

        Mars",Data Steward EU - Customer,Nothing_found,Slough,"
 They are responsible for driving accuracy of the data within region / market working with Data Quality organization.People, process, technology, and data.",30+ days ago
15,"

        North West Leicestershire District Council",Organisational Development Officer,"
                            £21,589 - £24,799 a year",Leicestershire,"
 We will provide support and training to enable you to use our systems to enable you to provide accurate and essential business information and data to managers…",5 days ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
18,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Identifies data sources, collects, transforms and prepares large amounts of data for analysis.Monitors and continuously improves the data sources, usability…",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
6,"

        University of Oxford",Postdoctoral Research Assistant in Neuroimaging and Pain Data Analysis,Nothing_found,Oxford,"
 As the Pain Data Analyst on the project you will be responsible for either performing or overseeing the analysis of all the pain related data collected at the…",4 days ago
7,"

        University of the Arts London",Academic Support Administrator,"
                            £28,358 - £35,839 a year",King's Cross,"
 Administer financial and staff records for the Academic Support team, such as preparing and sending out contracts for hourly paid staff, processing orders and…",12 days ago
8,"
        Park Log Ltd",Office Administrator,"
                            £17,000 - £18,500 a year",Nottingham NG4,"
 Currently we have a vacancy for an Administrator to carry out a variety of tasks in a busy office.The successful candidate will have some knowledge of…",3 hours ago
9,"

        Opus Recruitment Solutions",Junior Data Engineer,"
                            £100 - £120 a day",London,"
 I am working with a Data Science & Machine Learning consultancy who are are looking for a junior Data Engineer to join their exciting team on a 3 month rolling…",5 hours ago
10,"

        Unitemps",Junior Data Scientist,"
                            £20,000 - £25,000 a year",Stoke-on-Trent,"
 The ability to fully manipulate data.Based in Stoke on Trent this industry leading retail solutions business is looking to recruit a Junior Data Scientist to…",30+ days ago
11,"
        MRC Harwell",Junior Data Wrangler (Bioinformatician) MGU 1195),"
                            £23,489 - £26,338 a year",Didcot,"
 Some experience in bioinformatics techniques, data management and/or data curation.As a Junior Data Wrangler, you will assist the Data Wranglers by applying…",9 days ago
12,"

        The Alchemist Bar & Restaurant",Server,Nothing_found,Leeds,"
 After that period is over we will retain your data for 6 months and then delete your data from our database._We process your data for recruitment purposes only…",23 days ago
13,"

        University of Sheffield",Data Protection Officer,"
                            £41,526 - £49,553 a year",Sheffield,"
 Advice regarding Data Protection Impact Assessments and act as a contact point for data subjects and the Information.Complement each other to greatest effect.",16 days ago
14,"

        Schawk",QA Operator,Nothing_found,Witham,"
 Proof reading data and correcting where relevant.The Quality Assurance Coordinator is responsible for checking all artwork for copy, design and technical…",57 minutes ago
15,"

        Clarivate Analytics",Data Support Analyst,Nothing_found,London SE1,"
 Analyzes data retrieved and selects most relevant and pertinent data for our clients.Resources to find relevant data for clients.",10 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.What makes a data champion?*.As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
 Oversee the data deficiency process;As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
0,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
1,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
2,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
3,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
4,"

        City University London",Research Assistant (With Funding for 8 Months),Nothing_found,London,"
            Some travel within England will be required for data collection. Desired experience includes participant recruitment and conducting qualitative and quantitative…",26 days ago
5,"

        G-Research",Data Analytics Internship,Nothing_found,London,"
Data is at the heart of our business. Is enthusiastic about data visualisation and can demonstrate interest in data/statistical analysis. In this role you will:",30+ days ago
6,"

        Buckinghamshire County Council",School Administrator,"
                            £23,742 - £32,018 a year",High Wycombe,"
            School Administrator - Princes Risborough Primary School. Do you love meeting people? Are you organised and enthusiastic? Are you an excellent communicator?",3 days ago
7,"

        Equinix",Data Center Technician,Nothing_found,London,"
            The position of Data Center Technician will help ensure overall availability and reliability to meet or exceed defined service levels of data center operations.",3 days ago
8,"
        Princethorpe Foundation",Foundation Data Manager,Nothing_found,Rugby CV23,"
            The Data Manager will be responsible for maintaining a register of all data sources across the Foundation and responding to data access requests.",20 days ago
9,"
        South East Wales Biodiversity Records Centre (SEWB...",Biodiversity Information Officer (Part-time),"
                            £20,344 - £20,751 a year",Llantrisant,"
            This is also an important post for supporting SEWBReC’s volunteers whether undertaking data entry at our office or providing data for inclusion in our databases…",6 days ago
10,"

        VINCI energies",Finance Internship,Nothing_found,England,"
            An analytical mind, capable of dealing with numerical data. Gain hands-on experience in both the financial and management accounting fields.",8 months ago
11,"
        L&G recruitment",Data analyst,"
                            £400 - £450 a day",London,"
Data Analysis experience should be > 7 years. Has modelled metrics and worked with large data sets. Understands how to recognise post trade activities in the…",3 days ago
12,"
        Acteon Group Ltd.",Data Processor,Nothing_found,Aberdeen,"
            The Data Processor is responsible for the on-board processing, QC and management of all relevant acquired data including but not limited to hydrographic and/or…",30+ days ago
13,"
        Agility Resourcing",Senior Data Analyst - Manchester,"
                            £25,000 - £30,000 a year",Manchester,"
            Including operational, customer and environmental data. Drive best-in-class understanding and knowledge of data to maximise its value.",5 days ago
14,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
15,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
16,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Work with business units and process experts to resolve master data…",3 days ago
3,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
4,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            Once you have shown a good understanding of the lead sourcing process, demonstrated sufficient ability in finding appropriate brands, you will be incorporated…",3 days ago
5,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
6,"

        HSBC",Lead Data Scientist,Nothing_found,Sheffield,"
            Develop programs that automate data collection, assimilation, aggregation and visualization of data. Ability to create business insights from rapid analysis of…",4 days ago
7,"

        University of London",Part Time Student Fees Officer,"
                            £16.63 an hour",London,"
            Be responsible for the security of student fee data, including adherence to relevant University policy/regulation and statutory provisions in force (such as…",3 days ago
8,"

        Babylon Health",Insights Data Analyst,"
                            £35,000 - £45,000 a year",London,"
            Provide statistically sound analysis of data to inform key business decisions. Minimum 1-2 years experience using Tableau to build reporting dashboards and…",4 months ago
9,"

        Sainsburys",Associate Data Scientist,Nothing_found,London,"
            This will include the enrichment of our data asset, improvements in Nectar products and propositions and the application of data science to bespoke challenges.",5 days ago
10,"

        First Recruitment Group",Data Processor,Nothing_found,United Kingdom,"
            "" Contacting clients to confirm information or chase missing documentation / data. "" Update job files as per work instructions and enter data accurately into…",7 months ago
11,"

        Booking.com",Data Scientist,Nothing_found,Manchester,"
            As BookingGo continues its journey to be a fully data driven organisation, we are looking for an exceptional self-led data scientist who wants to join the…",11 days ago
12,"
        Bó",Data Engineer,Nothing_found,London,"
            Maintaining robust and performant data pipelines. Along with the ability to explain data pipelines in the forms of diagrams and other documentation, you’ll also…",30+ days ago
13,"

        Oscar Technology",Data Analyst,"
                            £350 - £450 a day",Leeds,"
            £350-450 p/d. My Client based in Leeds is looking for a Data Analyst to join a new exciting project on a 6 month contract initially.",6 days ago
14,"

        Dunstable Town Council",Administrative Assistants x 2,"
                            £19,554 - £21,166 a year",Dunstable LU6,"
            This role will assist in the development and implementation of all support functions, including the preparation and maintenance of systems for recording data,…",2 hours ago
15,"

        Capgemini",SAP Data Services Consultant,Nothing_found,United Kingdom,"
            Building SAP data services ETL processes and data modelling for Enterprise data warehouses. Strong understanding of data modelling. The focus of your role.",13 days ago
16,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
17,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
18,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
 You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
2,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.Automating data loading processes* – Loading our data into our central system as quickly…",Nothing_found
3,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Monitors and continuously improves the data sources, usability and data mining results.Identifies data sources, collects, transforms and prepares large amounts…",Nothing_found
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 Once you have shown a good understanding of the lead sourcing process, demonstrated sufficient ability in finding appropriate brands, you will be incorporated…",3 days ago
6,"
        GoTeq Solutions",Data Installation Engineer,"
                            £20 an hour",Coventry,"
 We are currently looking for Data Installation Engineers to work on site for around 1 month fitting Cat 6 cables.Click here to submit your CV and apply online.",30+ days ago
7,"

        Marks & Spencer",Product Developer,Nothing_found,Paddington,"
 Ability to analyse and interpret market and customer data.Interpret internal and external sources of data and customer insight to deliver product proposition…",17 days ago
8,"
        PSI CRO",Clinical Data Manager,Nothing_found,Oxford,"
 Prior experience with clinical or medical data.Communicate with clients, project teams and vendors on data management matters.",30+ days ago
9,"

        Group Lotus",Data Migration Analyst,Nothing_found,Hethel,"
 Management of data validation processes for migrated data;Develop core data migration deliverables and technical assets and support the testing throughout the…",19 days ago
10,"
        Total IT Global",Desktop Support Engineer L1,"
                            £25,000 a year",Halesowen,"
 The Supplier is not responsible for tape back‐ up or any loss of data.O Share with Client any relevant information that might be available (recent power outage…",2 hours ago
11,"

        Shaw Trust",Administrator,"
                            £17,680 - £20,180 a year",Ashford,"
 Shaw Trust is a progressive charity on an exciting journey to help five times more people over the next five years.The post holder will be responsible for:",2 days ago
12,"

        FACEIT",Junior Data Scientist,Nothing_found,London,"
 An interest in data engineering and in working with unstructured data;Run ad-hoc queries against our data warehouse.",9 months ago
13,"

        British Red Cross",Safeguarding Assurance Adviser,"
                            £24,500 a year",United Kingdom,"
 Innovation and Insight are responsible for supporting the collection of high quality data about the UK services we deliver and their impact on the people we…",13 days ago
14,"

        SCC",Data Protection Analyst,Nothing_found,Birmingham,"
 Implementation of ongoing data protection related tasks, such as assisting with data subject rights requests or data privacy impact assessments.",6 days ago
15,"

        University of Sussex",Research Fellow in Data Science,"
                            £33,797 - £40,322 a year",Brighton,"
 Your task will be to apply advanced data science and machine learning techniques to a variety of problems.The University of Sussex invites applications for a…",23 days ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
18,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Work with business units and process experts to resolve master data…",3 days ago
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Undertake Data Profiling to support data quality issue investigation.Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
6,"

        Nottingham University Hospitals NHS Trust",Governance Facilitator Band 5,"
                            £24,214 - £30,112 a year",Nottingham,"
 The postholder will have access to vulnerable people in the course of their normal duties and as such this post is subject to the Rehabilitation of Offenders…",4 days ago
7,"

        Openreach",Field Operations Professional,"
                            £35,000 - £45,000 a year",Wembley,"
 Openreach provides the capability for over 500 Communications Providers to provide service, broadband and data services to consumers and businesses across the…",30+ days ago
8,"
        Crozdesk.com",Tech Operations Intern,"
                            £1,450 a month",London EC2A,"
 This will involve handling large amounts of data, working on data-driven search engine optimisation (SEO) projects and many online systems (e.g.",13 days ago
9,"

        West Mercia Police",Telephone Investigator,"
                            £20,115 - £22,275 a year",Hindlip,"
 To take calls reporting low level volume crime from members of the public, carrying out initial risk assessment of the call and if appropriate recording on…",11 days ago
10,"

        PepsiCo","PepsiCo Summer Internship, Commercial/Sales","
                            £330 a week",Reading,"
 You’ll enhance your commercial skills and business acumen throughout the internship and learn to analyze data, negotiate, build and maintain business…",30+ days ago
11,"
        Epson and St Helier University Hospitals",Infant Feeding Support Worker,"
                            £22,535 - £24,517 a year",Epsom,"
 This post is subject to the Rehabilitation of Offenders Act (Exceptions Order) 1975 and it will be necessary for a submission for Disclosure to be made to the…",6 days ago
12,"

        Wincanton",Health & Safety Data Entry Clerk,Nothing_found,Lichfield WS13,"
 Analyse data to determine trends.Update existing data and records.Verify data by comparing it to source documents/systems.",5 days ago
13,"
        Bangura Solutions",SENIOR DATA ARCHITECTURE,"
                            £750 a day",London,"
 Provide data modelling and architecture support and SME consultancy to the organisation Data Workstream, Requirements Workstream, and Architects Workstream.",5 months ago
14,"

        Liverpool School of Tropical Medicine",Research Assistant,"
                            £29,176 - £33,797 a year",Liverpool,"
 The successful individual must also be able to effectively liaise with collaborators and team members from different cultures, and be capable of diligently…",2 days ago
15,"

        UK Government - Defence Science and Technology Lab...",Support Behind the Science Opportunities,"
                            £17,000 - £28,000 a year",Fareham PO17,"
 Inputting and updating data accurately on corporate and management systems following information and data handling requirements.Working as part of a team.",4 days ago
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
2,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
3,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
6,"

        The Alchemist Bar & Restaurant",Server,Nothing_found,Leeds,"
            After that period is over we will retain your data for 6 months and then delete your data from our database. _We process your data for recruitment purposes only…",23 days ago
7,"
        Park Log Ltd",Office Administrator,"
                            £17,000 - £18,500 a year",Nottingham NG4,"
            Currently we have a vacancy for an Administrator to carry out a variety of tasks in a busy office. The successful candidate will have some knowledge of…",3 hours ago
8,"
        Alvarium Investments Limited",Analyst Intern,Nothing_found,London,"
            The role would include (but is not limited to) quantitative and qualitative investment fund analysis, fund manager interviews, macro-economic research, report…",14 days ago
9,"
        Walt Disney Direct-to-Consumer and International",Research Analyst,Nothing_found,London,"
            Strong ability to build clear insight from analysis & presentation of research data from a variety of sources including in-house data, industry sources, &…",11 days ago
10,"

        Sitec",Data and Reporting Specialist,"
                            £22 an hour",Broughton,"
            Analytical and reporting data focused mind-set with ability to interpret data. Programming skills to support data analysis e.g. Python. Up to £22.00 per hour.",28 days ago
11,"
        M&GPrudential",Data Analyst,Nothing_found,London,"
            The opportunity is to join a high quality, active and focused Data Management team. At M&GPrudential our vision is: Deliver results and keep it simple.",3 days ago
12,"

        Gloucestershire County Council",Information Requests Officer,"
                            £25,801 - £28,785 a year",Gloucester GL1,"
            The Information Management Service is looking for someone who has an understanding of and a desire to develop their skills in information compliance (Freedom of…",3 days ago
13,"

        East Riding of Yorkshire Council",Records and Information Officer,"
                            £23,836 a year",Beverley,"
            The successful applicant will require a good understanding of the principles behind records management and data protection, experience of undertaking project…",13 days ago
14,"

        Barclays",Data Architect VP,Nothing_found,Northampton,"
            Must have expert understanding of Data Architecture concepts (data governance, data lineage, data modelling, data quality), process modelling and operating…",30+ days ago
15,"
        Logix Resourcing",Senior Data Scientist,"
                            £350 - £400 a day",Reading,"
            Senior Data Scientists wishing to be considered, must have a strong Data Analytics background which must include strong advanced Visualisation and excellent…",17 days ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
18,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Undertake Data Profiling to support data quality issue investigation.Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
